ID_ROK;ID_SUBKATEGORIA;ID_KATEGORIA;Druh kriminality;Zistené;Objasnené; t.j. %;Spôsob. škoda;Dodatoč. objasnené;Vplyv alkoholu;Vplyv drog;Maloletý páchateľ;Mladistvý páchateľ;Celkom osôb;Počet malolet.;Počet mladist.;Vplyv alkoholu;Vplyv drog
21;13;3;   - do obchodov a výkl.skríň           ;  470;  168;  36; 2 231;  35;  28;  1;  3;  30;  207;  7;  39;  36;  1
21;14;3;       - škoda značná a vyššia          ;  12;  1;  8; 1 441;  1;  ;  ;  ;  ;  6;  ;  ;  ;  
21;15;3;   - do reštaurácií a stánkov           ;  273;  131;  48;  229;  25;  16;  ;  4;  38;  167;  5;  50;  14;  
21;16;3;       - škoda značná a vyššia          ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
21;17;3;   - do bytov                           ; 1 013;  362;  36; 3 934;  44;  22;  ;  14;  75;  440;  20;  69;  26;  
21;18;3;       - škoda značná a vyššia          ;  18;  2;  11; 1 862;  2;  ;  ;  ;  1;  5;  ;  1;  ;  
21;19;3;   - do rekreačných chát                ;  311;  105;  34;  351;  16;  10;  1;  2;  27;  148;  5;  25;  9;  1
21;20;3;       - škoda značná a vyššia          ;  1;  ;  ;  40;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
21;21;3;krádeže ostatné                         ; 13 549; 6 773;  50; 23 792;  332;  543;  9;  290;  843; 6 894;  322;  776;  517;  7
21;22;3;   - motorových vozidiel                ; 1 339;  514;  38; 11 226;  49;  82;  1;  7;  119;  526;  7;  120;  62;  
21;23;3;   - vecí a súčiastok z áut             ; 1 953;  272;  14; 3 114;  84;  14;  1;  4;  42;  298;  4;  31;  15;  1
21;24;3;   - v bytoch                           ;  798;  394;  49; 2 243;  30;  24;  ;  9;  55;  427;  10;  59;  23;  
21;25;3;ostatné majetkové                       ; 3 709; 1 301;  35; 4 310;  88;  299;  3;  105;  191; 1 466;  166;  195;  279;  3
21;;4;OSTATNÁ  KRIMINALITA                    ; 7 099; 5 609;  79; 18 597;  400;  661;  57;  44;  232; 6 753;  54;  245;  542;  59
21;26;4;výtržníctvo                             ;  979;  783;  80;  6;  63;  313;  ;  26;  96; 1 024;  31;  114;  348;  
21;27;4;požiare a výbuchy                       ;  486;  71;  15; 18 220;  18;  16;  ;  11;  6;  93;  17;  6;  16;  
21;28;4;drogy                                   ; 1 573; 1 161;  74;  ;  159;  28;  50;  1;  91; 1 366;  1;  88;  28;  55
21;29;4;    - omamné,psychotrop.látky           ;  629;  467;  74;  ;  72;  8;  18;  1;  25;  614;  1;  25;  8;  24
21;30;4;    - šírenie toxikománie               ;  41;  26;  63;  ;  2;  ;  ;  ;  2;  28;  ;  1;  ;  
21;31;4;nedovolené ozbrojovanie                 ;  328;  179;  55;  2;  61;  3;  1;  1;  3;  194;  ;  2;  1;  
21;;5;ZOSTÁVAJÚCA KRIMINALITA                 ; 12 088; 10 115;  84; 25 962;  850; 4 729;  63;  9;  80; 10 819;  9;  80; 4 640;  56
21;32;5;dopravné nehody cestné                  ; 1 615; 1 116;  69; 2 820;  314;  156;  6;  2;  9; 1 409;  2;  9;  145;  5
